Site ID,Name
10.237.33.74,LRV0083-ATN950B-ASG
10.237.33.68,LRV0034-CX600-X2-M8-ASG
10.237.33.69,HRV0078-CX600-X2-M8-ASG
10.237.33.70,HRV0087-CX600-X2-M8-ASG
10.237.33.71,HRV0115-CX600-X2 M8-ASG
10.237.33.64,HRV0020-ATN950C-ASG-1
10.237.33.66,HRV0116-ATN950C-ASG-1
10.237.33.67,HRV0202-CX600-X8-ASG
10.237.33.76,LRV0085-ATN950B-CSG
10.237.33.77,HRV0102-CX-600-X2-M8-ASG
10.237.33.75,HRV0084-CX600-X2-M8-ASG
10.237.33.133,LRV0099-ATN950B-CSG
10.237.33.79,LRV0126-CX600-X2-M8-ASG
10.237.33.129,LRV0417-ATN950B-CSG
10.237.33.130,LRV0042-ATN950B-CSG
10.237.33.82,LRV0088-ATN950B-CSG
10.237.33.80,HRVB07-CX600-X2 M8-ASG
10.237.33.128,LRV0004-ATN950-CSG
10.237.33.134,LRV0111-ATN950B-CSG
10.237.33.135,LRV0114-ATN950B-CSG
10.237.33.136,LRV0117-ATN950B-CSG-1
10.237.33.138,LRV0155-ATN950B-CSG
10.237.33.140,LRV0455-CSG_13-ATN950B
10.237.33.139,LRV0225-ATN950B-CSG
10.237.33.141,LRV0473-CSG_14-ATN950B
10.237.33.143,LRV0673-ATN950B-CSG
10.237.33.2,CRV0023-CX600X8-RT02
10.238.97.125,CPL0079-CX600_X2_M8-RSG-2
10.238.97.122,HTR0065-ATN910C-ASG-1
10.238.97.123,CYOLY01-CX600_X2_M8-RSG-1
10.238.97.124,CPL0079-CX600_X2_M8-RSG-1
10.238.97.126,GOMBE-RNC-ROUTER-2
10.238.97.127,GOMBE-CGOBY01-RNC-ROUTER-1
10.238.97.138,HBR0016-ATN-950C-ASG-1
10.238.97.135,HBR0003-ATN-950C-ASG-1
10.238.97.140,HBR0050-ATN-950C-ASG-1
10.238.97.137,HBR0012-ATN-950C-ASG-1
